,index,name,skills,describe,url,salary_from,salary_to,salary_currency,salary_gross,salary_median,experience,employment
0,1, frontend разработчик ,bootstrap html5 css3 js ajax websocket git vuejs python oop рефакторинг jquery sql postgres redis docker django xml vanillajs svn elastic верстка ui celery адаптивная верстка unix server xml xslt xslt web restful paas pixijs , компания  эргосоло  работает с 2002 года  наш ключевой продукт   тренажер слепого десятипальцевого метода набора текста  соло на клавиатуре   его прообраз появился еще в 1991 году  когда вышло первое издание самоучителя  соло на пишущей машинке  владимира владимировича шахиджаняна  в конце 1990 х была выпущена первая версия программы для настольных компьютеров  последние несколько лет обучение частных лиц и корпоративных заказчиков ведется через онлайн платформу  среди клиентов  соло  сотрудники сбербанка  правительства республики татарстан  ряда крупных российских компаний  вузов и школ  благодаря  соло на клавиатуре  более 5 миллионов человек на постсоветском пространстве научились печать вслепую  другой наш стратегический проект   авторский онлайн курс владимира шахиджаняна  учимся говорить публично   который успешно освоили более 5 тысяч человек  в его основу лег 35 летний опыт преподавательской  журналистской и общественной деятельности автора  сейчас мы ведем разработку новой версии курса  ориентированной на широкую аудиторию и развивающей навыки общения  проведения презентаций и публичных выступлений  еще один важный проект компании   онлайн книга  курить  чтобы бросить    которая в интерактивном формате помогает справиться с курением всем желающим  ежедневно сотни человек приступают к ее чтению  а многочисленные отзывы и благодарности подтверждают  что авторская методика и предложенные подходы действительно помогают справиться с проблемой  кроме того  мы поддерживаем и развиваем ряд других тематических проектов и сообществ  руководит компанией психолог  журналист и педагог владимир владимирович шахиджанян  более 30 лет преподававший на факультете журналистики московского государственного университета имени м в  ломоносова  автор книг  мне интересны все люди    1001 вопрос про это    учимся говорить публично   создатель наших обучающих онлайн курсов  все наши сотрудники владеют слепым десятипальцевым методом набора текста  и у вас также будет возможность его освоить  а если вы уже печатаете  вслепую   то обязательно напишите об этом в сопроводительном письме  в нашей команде царят домашняя атмосфера и дружелюбие  мы ожидаем от сотрудников профессионализма  но при этом никого не заставляем трудиться на износ  будем рады видеть в наших рядах специалистов  которые привыкли работать на результат и хотят гордиться своими проектами  обязанности    оптимизация  развитие и рефакторинг web интерфейсов существующих проектов   проектирование и разработка web интерфейсов и ui компонентов для новых проектов   адаптивная верстка страниц сайтов  посадочных страниц  электронных писем  требования  мы ожидаем  что вы   имеете отличные знания html5 css3 и богатый опыт чистой верстки без препроцессоров и т п   имеете уверенные знания нативногоjs подкрепленные богатым практическим опытом   применяете принципы oop по назначению и не по наслышке знакомы с паттернами проектирования   умеете писать понятный  легко читаемый и поддерживаемый код   знакомы с особенностями работы основных браузеров  в частности мобильных    знаете современный стек веб технологий   понимаете принципы работы ajax и websocket   имеете опыт разработки адаптивных веб интерфейсов и ui компонентов  будет плюсом   опыт работы с twitter bootstrap 3 4   опыт работы с vuejs и его экосистемой в production   опыт работы с шаблонизаторами как на серверной  так и на клиентской сторонах   опыт работы с xlst   глубокое понимание взаимодействия между client и server  передачи и хранения данных  restful   владение командной строкой unix   владение системой контроля версий  git  svn и т п   на уровне понимания веток  слияний и практики хороших коммитов  стек используемых технологий  backend   для разработки веб сервисов мы используем python  django  jinja2  celery   в качестве sql и key value хранилища у нас postgres  sqlite3  redis  berkeley db   кое где применяем elastic   для обработка запросов в режиме реального времени используем websocket в связке с tornado   конечно же docker для инфраструктуры разработки и развертывания на серверах  frontend   классика  html5  css3 js   для базовой верстки предпочитаем twitter bootstrap   в зависимости от задач используем vanillajs  jquery  vuejs  pixijs и еще много всего разного по мелочи   немного экзотики в виде xml xslt  системы контроля версий   git и svn  в ближайшей перспективе планируем миграцию с собственных серверов в яндекс облако с адаптацией кодовой базы под новую платформу и соответствующих paas решений облака  условия работы    7 минут пешком от метро рижская или от метро марьина роща   гибкое начало рабочего дня  график обсуждаем индивидуально   возможность влиять на компанию и развитие ее продуктов   хорошая столовая в офисном здании с бизнес ланчем в обед   для жителей москвы возможна частичная работа из дома   рассматриваем специалистов из регионов для удаленной работы   официальное оформление  отпускные и больничные по тк рф   готовы собеседовать по skype и начинать сотрудничать удаленно  ,https://hh.ru/vacancy/36497379,120000.0,,RUR,False,150000,middle,full
1,2, ведущий frontend разработчик ,bootstrap js react angular vuejs oop css es6 svg canvas desktop , verme уже более 6 лет является экспертом wfm на российском рынке  мы создаем wfm решения для торговых сетей  аптек  предприятий быстрого питания  логистических компаний  операторов мобильной связи  мы лидер российской разработки в этом сегменте it решений и по праву соперничаем с крупными международными разработчиками  а кое что делаем круче их  несмотря на кризис и пандемию мы активно растем и открываем новые  в том числе и международные рынки  а значит  мы ищем профессионалов  нам важно  чтобы тебя драйвил результат  а работа  сделанная вовремя дарила уважение  мы смотрим на ошибки  как на возможности развития  а решения комплексных задач ищем в совместном обсуждении  мы чутко реагируем на изменения  а сложности воспринимаем как вызов собственным ограничениям    если ты любишь решать не тривиальные задачи  тебе важно работать над созданием востребованного it продукта  решать кейсы крупнейших компаний россии и не только  ты именно тот  кого мы ищем  что нам важно   если у тебя есть опыт написания кода на современном  es6 и выше js в функциональном и oop стиле если использовал фреймворк типа vuejs  angular  react и создавал повторно используемые компоненты если умеешь работать с svg и canvas и делал анимацию в css иjs если знаешь  как оптимизировать рендеринг и производительность веб приложений если способен быстро и качественно собирать стандартные интерфейсы из готовых компонент библиотек на основе bootstrap если понимаешь  как создавать современную адаптивную и кросс браузерную в рстку   что нужно будет делать   работать с наследованным кодом  соответственно изучать его и постоянно улучшать  сам проект развивается около 6 ти лет  разрабатывать новые  развивать и корректировать существующие модули системы по планированию персонала верме  desktop вариант   участвовать в проектировании новых модулей  править их взаимодействия   что мы предлагаем   официальное трудоустройство по тк рф с первого дня  высокий доход и много работы  гибкий график  мы про результат  а не про работу от звонка до звонка  дмс сотрудникам и членам семьи по корпоративным условиям мобильная связь дополнительные дни к отпуску   удобный офис на м  белорусской с кофемашиной и плюшками   ,https://hh.ru/vacancy/35493020,150000.0,,RUR,False,187500,senior,full
2,3, full stack разработчик  net csharp ,mssql csharp net wpf рефакторинг умение работать в команде ответственность entity умение принимать решения net csharp гибкость xamarin стрессоустойчивость внимание к деталям выполнение , региональное представительство компании quipu gmbh предлагает опытным  мотивированным  полным энтузиазма специалистам стать частью большой интернациональной команды в качестве full stack разработчиков мобильного приложения для международного банковского холдинга    основные задачи и обязанности   разработка мобильного банкинга на платформе  net с использованием клиент серверной архитектуры и кросс платформенных инструментов xamarin  следуя передовой практике и установленным стандартам  выполнение роли высокопроизводительного разработчика и эксперта по  net в разработке финансовых приложений и программного обеспечения  разработка комплексных технических решений для финансовых учреждений в командной среде  нацеленной на результат  в соответствии с политиками и стандартами компании  анализ и понимание целого решения с помощью интерфейсов и зависимостей между техническими компонентами  поддержка и развитие текущего функционала  рефакторинг и обзор кода  постоянное совершенствование технических и бизнес знаний и навыков     требования к кандидату   высшее или неполное высшее образование в сфере it  большой опыт разработки на платформе  net с csharp  наличие достаточного опыта работы с wpf  опыт работы с xamarin приветствуется   опыт автоматизированного тестирования и непрерывной интеграции  умение проектировать и документировать полные решения  представление о паттернах проектирования и условиях их применения  понимание реляционых бд  опыт работы с mssql и entity является преимуществом   критическое мышление  внимание к деталям  умение принимать решения  ответственность и самодисциплина  личные качества  такие как стрессоустойчивость  гибкость  умение работать в команде крайне желательны  владение английским языком  желательно на уровне b1 b2   знание банковского бизнеса приветствуется     условия работы   работа в молодой интересной команде  новый комфортабельный офис в нескольких шагах от метро  раменки   стандартная пятидневка  с 9 до 18 или с 10 до 19 по выбору сотрудника  отличная командная и международная рабочая среда  множество сложных и интересных задач  стабильная белая заработная плата и гарантированный отпуск  компания обеспечивает полис дмс сотруднику и членам его семьи  мы на светлой стороне  оформление по тк рф   и у нас есть печеньки  компания предоставляет возможности совершенствовать свои профессиональные и языковые навыки  окончательная сумма оклада обсуждается по результатам собеседования   ,https://hh.ru/vacancy/36741295,1800.0,,EUR,False,180000,middle,full
3,4, frontend разработчик ,react webpack redux typescript api ux saga styled components , расширяем команду  и ищемjs разработчика  с широким кругозором и опытом работы в нагруженных проектах  для создания клиентской архитектуры  готового работать 24 7  на данном этапе у нас есть серверный код  документированный в open api  мы активно работаем над ux и дизайном проекта  с чем предстоит работать   сложные интеграционные задачи есть возможность заняться архитектурными задачами    что мы ждем от вас   уверенный опыт вjs  typescript от 3 лет отличные практические знания react стека   redux  saga  reselect  styled components   опыт построения архитектуры крупного приложения опыт работы в команде с раздельной разработкой  фронт и бэк     будет круто  если есть   опыт написания тестов для компонентов react опыт работы с системами сборки  webpack  опыт использования websoсket в проектах     мы предлагаем  много интересных задач из разных направлений  есть  куда расти вместе с нами офис в центре москвы  новокузнецкая  гибкое начало рабочего дня новые macbook pro для работы зп от 220 000 рублей    ,https://hh.ru/vacancy/36676120,220000.0,260000.0,RUR,False,240000,senior,full
4,5, frontend разработчик ,angularjs react less git sass angular scss spa gulp webpack рефакторинг css умение работать в команде html vue ответственность angular 2 dry , приглашаем front end разработчика с опытом от 2 лет для участия в разработке новых и существующих проектов компании  мы разрабатываем single page application  spa  со сложной логикой на react  vue  angular 2   angularjs мы ждем тебя  если ты   умеешь и хочешь писать код удаленно  из дома  домашняя одежда и пижама   для тебя лучший дресс код  у тебя есть возможность организовать рабочее место дома без посторонних шумов со стабильным интернет соединением  тебе интересно профессиональное и личностное развитие   обязанности   разработка веб интерфейсов  изучение и рефакторинг унаследованного кода  написание unit тестов  требования   умение работать в команде  ответственность и дисциплинированность  уверенное владениеjs  уверенное владение одним из популярных фреймворков  react  vue  angular знание gulp и или webpack  понимание процесса сборки фронтенда  умение читать и понимать чужой код  уверенное владение системой контроля версий git  знание любого css препроцессора  sass scss less  и html шаблонизатора  pug ejs       знание html  css   будет плюсом   стремление писать код понятно  отречение от копипасты и костылей  принципы kiss  dry   стремление писать архитектурно грамотный код   условия   удал нная работа интересные проекты fulltime c гибким началом дня   обсудим удобное время   уровень з п  обсуждается индивидуально    ,https://hh.ru/vacancy/36669665,,60000.0,RUR,True,48000,middle,full
5,6, react разработчик ,английский язык react reactjs rest css redux solid team player , we are looking to hire a russian speaking frontend developer with react experiencelooking for a developer with   more than 3 years of experience with reactjs   is a must  good understanding of redux library and flux workflow  good css knowledge  experience developing enterprise level applications  solid understanding of rest protocol  good team player  good spoken английский язык   ,https://hh.ru/vacancy/36641214,2500.0,,USD,False,231250,senior,full
6,7, программист разработчик ,qt linux python cplus perl stl arm , обязанности    разработка программного обеспечения  расширяющего функционал продуктов компании   сопровождение и дальнейшее совершенствование разработанного ранее по  его тестирования   написание технической документации  описывающей функционал программного обеспечения    требования    владение языками программирования cplus  с использованием stl  библиотек qt  и или python perl   понимание устройства современных linux дистрибутивов   умение читать чужой код  находить и исправлять в н м ошибки   умение писать свой код на уровне расширения функциональности существующего   знание английского языка на уровне владения технической терминологией   желаемые компетенции   навыки разработки драйверов устройств под linux навыки разработки модулей ядра linux навыки разработки по под процессоры архитектуры arm  mips  эльбрус владение языками программирования с ассемблер  условия    оформление по тк рф в активно развивающуюся компанию  занимающуюся разработкой системного и прикладного по   заработная плата полностью белая  выплачивается 2 раза в месяц  устанавливается по итогам собеседования    график работы  пятидневная рабочая неделя с 10 00 до 19 00   рабочее место в современном бизнес центре в центре москвы   возможность профессионального и карьерного роста   профессиональное развитие    опытные коллеги готовы делиться знаниями  интересными задачами  внутренние профессиональные комьюнити    возможность менять проекты  технологии  пробовать себя в разных ролях   поддержка докладчиков  выступающих на конференциях и встречах   проекты для крупных и ведущих организаций россии   адекватное руководство  отсутствие бюрократии   отсутствие дресс кода  дружеская атмосфера  забота о комфорте специалистов    есть печеньки и спортзал с боксерской грушей     ,https://hh.ru/vacancy/36625070,180000.0,200000.0,RUR,True,190000,middle,full
7,8, frontend разработчик ,bootstrap html5 css3 js git reactjs vuejs scss nodejs oop spa gulp webpack agile работа в команде rest рефакторинг css mvc typescript ответственность electron , обязанности   разработка spa electron приложений разработка frontend части проектов на vuejs отладка  рефакторинг и документация кода  требования   готовность работать по гибким методологиям разработки  agile js  typescript  html5  css3  css препроцессоры  scss   bootstrap  git  webpack  gulp  nodejs опыт работы с современнымиjs фреймворками  reactjs  vuejs  опыт кроссбраузерной разработки опыт написание unit тестов опыт разработки мобильных приложений с использованиемjs фреймворков ответственность и дисциплинированность понимание oop  mvc понимание принципов rest умение писать простой  расширяемый и производительный код английский на уровне чтения технической документации  условия   полный рабочий день удаленно  хотите в офис    предоставим рабочее место в москве  м  белорусская  или твери оклад   премия работа в команде  дружный коллектив  ,https://hh.ru/vacancy/36742310,,180000.0,RUR,True,144000,middle,full
10,11, frontend разработчик ,js react nodejs rxjs инициативность гибкость open source , привет  мы разрабатываем современное решение для эффективных коммуникаций в крупных компаниях  небольших командах и сообществах  платформа dialog сочетает в себе привычные функции мессенджеров  высокий уровень безопасности и инструменты для автоматизации рутинных задач  в нашей компании dialog стал основным средством коммуникации  мы пользуемся продуктом  который разрабатываем  и ежедневно улучшаем его в нашу быстро растущую команду требуется frontend разработчик для разработки клиентской части месседжинг платформы  технологии js  flow  react  обязательно   rxjs   будет плюсом   nodejs  самостоятельность и инициативность  не ждать  что за вас решат проблемы  а предлагать решения  быстрая смекалка и  гибкость  в решении проблем  хорошая ориентация в функционале современного месседжинга   мы предлагаем   белую зарплату и годовые премии  гибкий график  участие в разработке open source проектов компании и активная работа с сообществом  дмс  после прохождения испытательного срока   возможность корпоративного обучения  фитнес в новом зале недалеко от офиса  волшебный офис с собственным дизайнерским проектом в пешей доступности от метро кутузовская  супер адекватная и профессиональная команда  возможность оказывать влияние на продукт  обсуждать задачи не только с точки зрения методов реализации  но и с точки зрения рациональности и необходимости разрабатываемых фич  вносить свои идеи   несколько слов о себе всегда  как огромный плюс     ,https://hh.ru/vacancy/36408065,150000.0,,RUR,False,187500,middle,full
12,13, разработчик etl ,mssql sql oracle dwh etl sql oracle ssis pl sql планирование бюджетирование pl цфт datastage pentaho опыт работы с sql хранилища данных oracle data integrator microsoft , компания интерсофт лаб  www iso ru   разработчик rсpm систем и хранилищ данных  хд   приглашает на постоянную работу специалистов для развития и внедрения систем управления эффективностью бизнеса в ведущих банках россии и стран снг    обязанности    участие в проектах построения хранилищ данных  хд  и автоматизации областей  управленческий уч т  планирование  бюджетирование  управление активами и пассивами  в качестве специалиста по разработке etl решений    проектирование  разработка и оптимизация процессов преобразования данных  etl  для хранилища данных  dwh     разработка sql запросов  oracle  mssql     доработка физической модели бд    анализ источников данных и выявление проблем с качеством исходных данных    настройка etl системы    взаимодействие с представителями заказчика  ит служба  и подразделением разработки компании    требования  обязательно    высшее математическое техническое образование    опыт работы с sql oracle  знание pl sql   mssql в качестве разработчика    желательно    навыки построения etl решений с применением как минимум одной из платформ  informatica powercenter  oracle data integrator  datastage  pentaho data integration kettle etl  microsoft ssis    опыт работы в ит компании в подразделении внедрения сопровождения и  или опыт работы в банке  страховой компании в подразделении автоматизации    знание структур баз данных распространенных российских абс  diasoft  цфт  инверсия     условия    оформление по тк рф  белая зп  премии за результат  омс    работа в офисе и на площадках заказчиков    офис в непосредственной близости от м  проспект мира  5 минут пешком     кратковременные командировки  возможны    обучение программным продуктам для построения хд и технологии разработки etl решений   ,https://hh.ru/vacancy/36639425,120000.0,,RUR,True,150000,middle,full
